IdExpediente,Hora,Turno,Causa_de_Accidente,CoordenadaUTM_Y,CoordenadaUTM_X
2013S008343,17,Tarde,No hay causa mediata,4580651.71,427360.56
2013S004262,21,Tarde,No hay causa mediata,4580624.16,428577.78
2013S000613,14,Tarde,No hay causa mediata,4580710.39,428665.73
2013S000233,1,Noche,No hay causa mediata,4581005.73,427873.6
2013S005217,20,Tarde,No hay causa mediata,4581668.62,428100.4
2013S008071,17,Tarde,No hay causa mediata,4581473.49,428130.5
2013S007643,23,Noche,Alcoholemia,4581473.49,428130.5
2013S008831,11,Matutino,No hay causa mediata,4581784.23,428155.98
2013S007561,21,Tarde,No hay causa mediata,4580977.71,428000.07
2013S005458,15,Tarde,No hay causa mediata,4580980.32,427917.45
2013S008153,8,Matutino,No hay causa mediata,4581186.96,427372.81
2013S000390,20,Tarde,No hay causa mediata,4581126.92,427385.88
2013S008119,11,Matutino,No hay causa mediata,4580656.98,427664.64
2013S006082,2,Noche,No hay causa mediata,4580988.65,427749.68
2013S005994,17,Tarde,No hay causa mediata,4580983.2,427845.7
2013S002620,2,Noche,No hay causa mediata,4580806.78,427500.43
2013S007466,8,Matutino,No hay causa mediata,4580521.15,427540.32
2013S007882,13,Matutino,No hay causa mediata,4581011.08,427732.93
2013S001831,9,Matutino,No hay causa mediata,4582456.52,427152.04
2013S005004,8,Matutino,No hay causa mediata,4582755.79,427949.64
2013S007583,21,Tarde,No hay causa mediata,4582755.79,427949.64
2013S003870,13,Matutino,No hay causa mediata,4582755.79,427949.64
2013S007181,9,Matutino,No hay causa mediata,4582691.12,427716.33
2013S007676,15,Tarde,No hay causa mediata,4582622.56,427510.22
2013S009121,16,Tarde,No hay causa mediata,4582812.77,427739.05
2013S001378,12,Matutino,No hay causa mediata,4582841.3,427605.09
2013S008309,19,Tarde,No hay causa mediata,4582229.51,427709.49
2013S001868,12,Matutino,No hay causa mediata,4582099.94,427152.77
2013S005810,18,Tarde,No hay causa mediata,4581967.6,427445.36
2013S004683,21,Tarde,No hay causa mediata,4582397.86,427182.18
2013S007602,12,Matutino,No hay causa mediata,4582525.23,427556.27
2013S006130,1,Noche,No hay causa mediata,4582525.23,427556.27
2013S001241,14,Tarde,No hay causa mediata,4582511.71,427514.84
2013S004602,23,Noche,No hay causa mediata,4582511.71,427514.84
2013S002978,13,Matutino,No hay causa mediata,4582432.92,427178.74
2013S003273,21,Tarde,No hay causa mediata,4581826.64,427225.02
2013S008805,7,Matutino,No hay causa mediata,4581826.64,427225.02
2013S006868,14,Tarde,No hay causa mediata,4581826.64,427225.02
2013S002441,14,Tarde,No hay causa mediata,4581567.2,427330.42
2013S007246,5,Noche,No hay causa mediata,4582427.19,427253.13
2013S002217,11,Matutino,No hay causa mediata,4582427.19,427253.13
